iter	Passed	Remaining
0	639	766340
1	2992	1792484
2	3467	1383343
3	3559	1064391
4	3644	871021
5	4636	922734
6	5608	955840
7	5835	869515
8	6627	877006
9	7495	891988
10	7620	823749
11	7694	761768
12	8503	776423
13	8530	722658
14	9405	743040
15	9580	708956
16	9715	676063
17	10732	704761
18	11659	724750
19	11716	691268
20	12663	710957
21	13291	711718
22	14101	721612
23	14658	718246
24	15639	735056
25	15724	710003
26	15872	689583
27	16107	674205
28	17185	693942
29	18367	716336
30	19352	729760
31	19533	712989
32	20606	728735
33	20854	715196
34	21043	700432
35	21223	686213
36	22166	696752
37	22194	678686
38	23113	688077
39	23348	677105
40	24250	685532
41	24286	669600
42	25461	685099
43	26476	695618
44	26570	681975
45	27732	695726
46	28720	704578
47	29701	712845
48	30719	721605
49	31786	731090
50	31940	719598
51	32130	709348
52	32488	703094
53	33983	721204
54	34916	726905
55	36021	735872
56	38486	771750
57	38666	761330
58	40976	792438
59	41244	783644
60	43056	803959
61	45221	830035
62	46605	841120
63	47859	849509
64	49166	858526
65	49439	849455
66	50773	858608
67	52078	866946
68	54163	887805
69	54312	876759
70	57100	907974
71	58848	921959
72	60523	934389
73	62051	944194
74	62251	933765
75	63580	940319
76	66191	965368
77	66653	958783
78	67977	964586
79	68136	953909
80	69536	960637
81	71199	970743
82	73063	983280
83	74297	987100
84	75896	995587
85	76935	996586
86	78423	1003284
87	80226	1013774
88	82911	1034997
89	83427	1028940
90	83892	1022381
91	86377	1040291
92	88882	1057986
93	90810	1068474
94	92548	1076488
95	93665	1077152
96	93852	1067214
97	94070	1057818
98	95262	1059431
99	96843	1065276
100	97265	1058368
101	98654	1061981
102	99838	1063328
103	99914	1052944
104	99964	1042485
105	101342	1045930
106	102805	1050154
107	102844	1039876
108	104362	1044585
109	105711	1047503
110	106968	1049451
111	108485	1053859
112	110009	1058237
113	110203	1049836
114	111572	1052662
115	112968	1055667
116	114893	1063497
117	117702	1079270
118	122415	1112029
119	127065	1143589
120	129998	1159242
121	133425	1178959
122	138395	1211805
123	141587	1228617
124	146420	1259213
125	150994	1287044
126	154801	1307891
127	158962	1331309
128	161093	1337449
129	163240	1343592
130	166490	1358614
131	166789	1349481
132	168159	1349067
133	169637	1349502
134	171245	1350939
135	172457	1349227
136	173716	1347885
137	175116	1347632
138	176266	1345456
139	177356	1342843
140	177434	1332647
141	178619	1330843
142	179942	1330066
143	181319	1329674
144	182776	1329859
145	184011	1328412
146	185824	1331108
147	187192	1330583
148	188607	1330381
149	190072	1330504
150	191895	1333099
151	193136	1331627
152	194362	1330052
153	195676	1329072
154	197172	1329325
155	198618	1329215
156	198874	1321183
157	200642	1323223
158	202217	1323949
159	203873	1325178
160	205170	1324051
161	206626	1323940
162	208811	1328450
163	210328	1328659
164	211498	1326672
165	211685	1318570
166	212908	1316973
167	214566	1318053
168	216044	1317999
169	217238	1316209
170	218545	1315105
171	218668	1306924
172	218703	1298313
173	219956	1296986
174	221168	1295415
175	222451	1294263
176	224135	1295427
177	225953	1297328
178	227686	1298705
179	230078	1303775
180	232579	1309386
181	234422	1311222
182	236943	1316784
183	242704	1340153
184	247328	1356965
185	257613	1404407
186	264492	1432787
187	272045	1464414
188	277115	1482345
189	282173	1499974
190	286407	1513010
191	289015	1517330
192	291781	1522404
193	294772	1528562
194	296569	1528471
195	297721	1525064
196	298937	1522001
197	300198	1519187
198	301504	1516611
199	302873	1514367
200	304230	1512073
201	305778	1510726
202	307351	1509504
203	309293	1510080
204	310576	1507432
205	311958	1505276
206	313436	1503588
207	314816	1501431
208	316548	1500955
209	318716	1502520
210	320842	1503854
211	324004	1509983
212	325956	1510418
213	327665	1509710
214	329750	1510717
215	331224	1508913
216	333440	1510470
217	333578	1502632
218	335218	1501595
219	337524	1503518
220	339852	1505498
221	341638	1505056
222	343954	1506921
223	346256	1508687
224	349221	1513292
225	353014	1521397
226	355161	1522342
227	357377	1523558
228	359970	1526338
229	361976	1526598
230	363755	1525881
231	365513	1525074
232	367192	1523928
233	368927	1523009
234	371707	1526372
235	373547	1525845
236	375072	1524028
237	376121	1520290
238	377721	1518786
239	379466	1517866
240	380868	1515572
241	383418	1517830
242	385125	1516728
243	386373	1513824
244	388096	1512782
245	389558	1510725
246	391123	1509072
247	392659	1507304
248	394428	1506433
249	395600	1503283
250	397830	1504149
251	399530	1502994
252	401349	1502283
253	403192	1501654
254	404988	1500841
255	406647	1499513
256	408244	1497955
257	410016	1497035
258	414400	1505601
259	416468	1505693
260	418351	1505104
261	420305	1504756
262	421853	1502953
263	423298	1500785
264	425192	1500208
265	426754	1498452
266	428349	1496817
267	429609	1494014
268	430900	1491330
269	432471	1489625
270	433619	1486465
271	433744	1479834
272	435433	1478560
273	437248	1477709
274	438579	1475221
275	440203	1473724
276	442464	1474348
277	443763	1471761
278	445096	1469297
279	446502	1467078
280	448250	1465986
281	449812	1464281
282	451620	1463378
283	453392	1462351
284	455785	1463310
285	458458	1465142
286	459752	1462556
287	461164	1460355
288	462315	1457333
289	463626	1454827
290	465220	1453215
291	466914	1451912
292	468284	1449605
293	469370	1446426
294	471067	1445140
295	473532	1446194
296	474903	1443897
297	475996	1440768
298	477043	1437512
299	477154	1431462
300	478483	1429093
301	479767	1426592
302	481005	1423967
303	482204	1421233
304	484470	1421643
305	486408	1421075
306	488151	1419931
307	490458	1420419
308	491751	1417963
309	493401	1416540
310	494872	1414604
311	496971	1414456
312	498343	1412237
313	499741	1410097
314	501077	1407789
315	502164	1404790
316	503336	1402039
317	504611	1399583
318	506065	1397630
319	507232	1394889
320	508484	1392392
321	509640	1389640
322	510699	1386635
